code,date,open,high,low,close,volume,amount,name,sector
AAPL,2025-08-01,209.8557561748323,212.5527283441607,200.530828701964,201.40660095214844,104434500,21033797667.137146,Apple,Technology
AAPL,2025-08-04,203.52634207300898,206.88014336875773,200.70995198839026,202.37193298339844,75109300,15200014226.029968,Apple,Technology
AAPL,2025-08-05,202.42167200915333,204.35234334482283,201.18764593221573,201.94398498535156,44155100,8916856851.426697,Apple,Technology
AAPL,2025-08-06,204.6409599471833,214.3440641251077,204.60114383647723,212.22430419921875,108483100,23022750414.874268,Apple,Technology
AAPL,2025-08-07,217.8272171299369,219.78774287041324,215.5382768294147,218.9716796875,90224800,19756676005.46875,Apple,Technology
AAPL,2025-08-08,219.76783274169614,229.8889142887861,218.19543055331755,228.24685668945312,113854000,25986817621.520996,Apple,Technology
AAPL,2025-08-11,227.08116933177635,228.71513292468896,223.9327956372812,226.34388732910156,61806100,13989432934.651184,Apple,Technology
AAPL,2025-08-12,227.17084589508121,229.95058632959714,226.2343181614284,228.8048095703125,55626200,12727542098.120117,Apple,Technology
AAPL,2025-08-13,230.2195756343437,234.1351043372746,229.58191650034667,232.47125244140625,69878500,16244742413.726807,Apple,Technology
AAPL,2025-08-14,233.1985666998313,234.25466305951576,230.0003892485326,231.92327880859375,51916300,12040598519.610596,Apple,Technology
AAPL,2025-08-15,233.1387895567921,233.417757832359,228.49593650929467,230.73765563964844,56038700,12930238263.093567,Apple,Technology
AAPL,2025-08-18,230.8472538899505,232.26202593201924,229.26310933608104,230.0402374267578,37476200,8621033945.852661,Apple,Technology
AAPL,2025-08-19,230.4287923573085,232.01293684851592,228.50590285589897,229.71144104003906,39402600,9051228026.724243,Apple,Technology
AAPL,2025-08-20,229.13358225147155,229.6217843388592,224.93908515924198,225.17819213867188,42263900,9516908594.729614,Apple,Technology
AAPL,2025-08-21,225.43723377620466,225.6863136691638,222.95639256938466,224.072265625,30621200,6861361660.15625,Apple,Technology
AAPL,2025-08-22,225.33760837029214,228.2468598588307,224.58041092619504,226.9217529296875,42477800,9639136836.59668,Apple,Technology
AAPL,2025-08-25,225.6464693442017,228.45609804536198,225.3973894325087,226.323974609375,30983100,7012218337.719727,Apple,Technology
AAPL,2025-08-26,226.03502689374838,228.6453946309622,223.86305742355088,228.46604919433594,54575100,12468557481.385803,Apple,Technology
AAPL,2025-08-27,227.7686378094015,230.05020313892598,227.41991984776428,229.6417236328125,31259500,7178485459.899902,Apple,Technology
AAPL,2025-08-28,229.9704999102399,232.55096405412047,228.4959359400532,231.70408630371094,38074700,8822063574.787903,Apple,Technology
AAPL,2025-08-29,231.65426265633033,232.52107103838586,230.51845893056873,231.28562927246094,39418400,9116909448.913574,Apple,Technology
AAPL,2025-09-02,228.4062708029861,230.00038826150748,226.1346633063032,228.87454223632812,44075600,10087782773.791504,Apple,Technology
AAPL,2025-09-03,236.33698891571112,237.9709525201245,233.49747185558658,237.59234619140625,66427800,15782736854.333496,Apple,Technology
AAPL,2025-09-04,237.5723846793371,239.01704493171877,235.86868682669095,238.89749145507812,47549400,11359432380.194092,Apple,Technology
AAPL,2025-09-05,239.1167027112504,240.43185187342493,237.61226559630578,238.80784606933594,54870400,13103482036.96289,Apple,Technology
AAPL,2025-09-08,238.41928864081726,239.2661511981365,235.47017586985078,237.0045166015625,48999500,11613102811.218262,Apple,Technology
AAPL,2025-09-09,236.12775932745953,237.90120710535396,232.5011563745861,233.48751831054688,66313900,15483467940.493774,Apple,Technology
AAPL,2025-09-10,231.33545739080094,231.56460664903227,225.118417424808,225.955322265625,83440800,18853892854.101562,Apple,Technology
AAPL,2025-09-11,226.04500979013486,229.60186307827533,225.81584532196928,229.18341064453125,50208600,11506978191.687012,Apple,Technology
AAPL,2025-09-12,228.3764005514914,233.6469250222829,228.17713965402348,233.20855712890625,55824200,13018681134.875488,Apple,Technology
AAPL,2025-09-15,236.12775635652346,237.31337916896246,234.16500543557729,235.828857421875,42699500,10069774297.485352,Apple,Technology
AAPL,2025-09-16,236.30708253667353,240.33222235518573,235.45026224943368,237.2735137939453,63421100,15048147245.677185,Apple,Technology
AAPL,2025-09-17,238.09051246512186,239.21635855568803,236.85507060288438,238.11044311523438,46508000,11074040488.40332,Apple,Technology
AAPL,2025-09-18,239.08682096339746,240.31228984200703,235.77903252032195,237.0045166015625,44249600,10487355057.8125,Apple,Technology
AAPL,2025-09-19,240.34217704154452,245.3935247988757,239.32594197772087,244.59646606445312,163741300,40050543328.79944,Apple,Technology
AAPL,2025-09-22,247.38616206443075,255.69547916115815,247.2068166293636,255.13751220703125,105517400,26921446930.5542,Apple,Technology
AAPL,2025-09-23,254.93828225227924,256.3929004583055,252.64674396870498,253.4936065673828,60275200,15279377834.570312,Apple,Technology
AAPL,2025-09-24,254.2807025242173,254.79879299943292,250.11607847800005,251.38140869140625,42303700,10634363698.858643,Apple,Technology
AAPL,2025-09-25,252.27808820484515,256.22352044118514,250.7836088309123,255.9246063232422,55202100,14127575710.716248,Apple,Technology
AAPL,2025-09-26,253.1648258525147,256.65194458214916,252.84599627139946,254.5198211669922,46076300,11727331636.036682,Apple,Technology
AAPL,2025-09-29,253.6231329894407,254.06151607705354,252.07883445903423,253.4936065673828,40127700,10172115396.253967,Apple,Technology
AAPL,2025-09-30,253.92202035086734,254.97811672142575,252.17846100632588,253.69287109375,37704300,9565312119.580078,Apple,Technology
AAPL,2025-10-01,254.10134722927504,257.83756097799323,253.9917514638179,254.5098419189453,48713900,12398166988.25531,Apple,Technology
AAPL,2025-10-02,255.63566078088252,257.229778167004,253.21461153357077,256.18365478515625,42630200,10921160440.222168,Apple,Technology
AAPL,2025-10-03,253.73271197999827,258.2858846694617,253.01536064819075,257.07037353515625,49155600,12636448453.344727,Apple,Technology
AAPL,2025-10-06,257.0405037108186,258.1165459888059,254.11133663097664,255.74530029296875,44664100,11422633666.815186,Apple,Technology
AAPL,2025-10-07,255.86484387966763,256.45266881763376,254.48991791397023,255.53607177734375,31955800,8165859602.502441,Apple,Technology
AAPL,2025-10-08,255.5758888188916,257.56852798749276,255.16739414069707,257.1102294921875,36496900,9383726334.753418,Apple,Technology
AAPL,2025-10-09,256.86113993459566,257.0504430809132,252.20832947523735,253.10501098632812,38322000,9699490231.018066,Apple,Technology
AAPL,2025-10-10,254.00171816056968,255.436420799504,243.10197943699816,244.3673095703125,61999100,15150553262.780762,Apple,Technology
AAPL,2025-10-13,248.46219085423505,248.7710475029622,244.6562426215344,246.74851989746094,38142900,9411704119.596863,Apple,Technology
AAPL,2025-10-14,245.69241642712313,247.93413549962378,243.79940008876653,246.8581085205078,35478000,8758031974.090576,Apple,Technology
AAPL,2025-10-15,248.57178982967116,250.89321639065437,246.559219921403,248.42233276367188,33893600,8419927177.758789,Apple,Technology
AAPL,2025-10-16,247.33633482463924,248.1234206007849,244.2278226113223,246.53927612304688,39777000,9806592786.346436,Apple,Technology
AAPL,2025-10-17,247.10719170360767,252.44746537322095,246.35995200283696,251.36146545410156,49147000,12353661942.67273,Apple,Technology
AAPL,2025-10-20,254.94822099113512,263.4069798400544,254.68918336894043,261.27484130859375,90483000,23640931466.12549,Apple,Technology
AAPL,2025-10-21,260.9161783410852,264.3136317818121,260.86634411857244,261.8028869628906,46695900,12225121429.330444,Apple,Technology
AAPL,2025-10-22,261.68336485657886,261.882640960004,254.48993535873984,257.49884033203125,45015300,11591387547.198486,Apple,Technology
AAPL,2025-10-23,258.98332466328685,259.6608147081683,257.0604350924048,258.6246337890625,32754900,8471224017.297363,Apple,Technology
AAPL,2025-10-24,260.2287163700197,263.15789839957887,258.22610426270086,261.85272216796875,38253700,10016835477.996826,Apple,Technology
AAPL,2025-10-27,263.9051197703755,268.1295048126629,263.6759553344934,267.8206481933594,44888200,12021986820.233154,Apple,Technology
AAPL,2025-10-28,267.9999758056659,268.896687690681,267.16307106420925,268.00994873046875,41534800,11131739618.530273,Apple,Technology
AAPL,2025-10-29,268.28892986747474,270.4110953948544,266.1269030442272,268.7073974609375,51086700,13727374201.867676,Apple,Technology
AAPL,2025-10-30,270.98894793982623,273.1310593223432,267.49188695276854,270.401123046875,69886500,18897388085.81543,Apple,Technology
AAPL,2025-10-31,275.97053891965146,276.29934139392066,268.1693703205502,269.3749084472656,86167100,23211254673.66638,Apple,Technology
AAPL,2025-11-03,269.42476736726525,269.8531775103368,265.2701011373342,268.0597839355469,50194600,13455153630.731201,Apple,Technology
AAPL,2025-11-04,267.3424445625432,270.49081837885313,266.6350661079627,269.0461730957031,49274800,13257196370.056152,Apple,Technology
AAPL,2025-11-05,267.6213843438783,270.70003856307255,265.94757476828966,269.1457824707031,43683100,11757122130.245972,Apple,Technology
AAPL,2025-11-06,266.90407480138714,272.3937751745226,266.90407480138714,268.7771301269531,51204000,13762464171.020508,Apple,Technology
AAPL,2025-11-07,268.80702532983145,271.2878818962731,265.7881780523408,267.48193359375,48227400,12899958204.199219,Apple,Technology
AAPL,2025-11-10,268.2298525605972,272.98692304032335,266.733924572705,268.6985778808594,41312400,11100583128.845215,Apple,Technology
AAPL,2025-11-11,269.07757258136417,275.16101963639426,269.0675899882029,274.5028076171875,46208300,12684308085.217285,Apple,Technology
AAPL,2025-11-12,274.2535373864602,274.9815668240292,270.96250711171905,272.7276916503906,48398000,13199474820.495605,Apple,Technology
AAPL,2025-11-13,273.3658696206449,275.9488654308047,271.3513641926929,272.20904541015625,49602800,13502330837.670898,Apple,Technology
AAPL,2025-11-14,270.31420819279356,275.21088338895913,268.8681625557137,271.6705322265625,47431300,12885686515.197754,Apple,Technology
AAPL,2025-11-17,268.09027174019775,269.7557213346742,265.00866346949266,266.73394775390625,45018300,12007908880.169678,Apple,Technology
AAPL,2025-11-18,269.25705465795,269.97510130800674,264.59974924229334,266.7139892578125,45677300,12182774901.525879,Apple,Technology
AAPL,2025-11-19,264.80921977983166,271.47107967039307,264.77930243197466,267.83099365234375,40424500,10826934002.89917,Apple,Technology
